hdl:1774.2/2086 levy:034.004
hdl:1774.2/10389 levy:191a.196
hdl:1774.2/10390 levy:031.107
hdl:1774.2/10391 levy:029.005
hdl:1774.2/10392 levy:132.031
hdl:1774.2/10394 levy:093.046
hdl:1774.2/10395 levy:061.029
hdl:1774.2/10396 levy:191a.175
hdl:1774.2/10397 levy:074.013
hdl:1774.2/10398 levy:026.079
hdl:1774.2/10399 levy:154a.030
hdl:1774.2/10400 levy:154a.005
hdl:1774.2/10401 levy:115.117a
hdl:1774.2/10402 levy:098.160
hdl:1774.2/10403 levy:078.167
hdl:1774.2/10404 levy:114.032a
hdl:1774.2/10405 levy:022.005
hdl:1774.2/10406 levy:189.058
hdl:1774.2/10407 levy:093.166
hdl:1774.2/10408 levy:061.079
hdl:1774.2/10409 levy:089.083
hdl:1774.2/10410 levy:155.026
hdl:1774.2/10411 levy:012.067
hdl:1774.2/10412 levy:181.036
hdl:1774.2/10413 levy:135.033
hdl:1774.2/10414 levy:016.086
hdl:1774.2/10415 levy:145.032
hdl:1774.2/10416 levy:191a.026
hdl:1774.2/10417 levy:148.118a
hdl:1774.2/10418 levy:174.119
hdl:1774.2/10419 levy:083.009
hdl:1774.2/10420 levy:147.102
hdl:1774.2/10421 levy:014.101
hdl:1774.2/10422 levy:139.013
hdl:1774.2/10423 levy:116.027
hdl:1774.2/10424 levy:193.144
hdl:1774.2/10425 levy:049.019
hdl:1774.2/10426 levy:013.015
hdl:1774.2/10427 levy:190.111
hdl:1774.2/10428 levy:169.105
hdl:1774.2/10430 levy:142.042
hdl:1774.2/10431 levy:092.021
hdl:1774.2/10432 levy:097.003
hdl:1774.2/10433 levy:087.123
hdl:1774.2/10434 levy:153.125
hdl:1774.2/10435 levy:176.044
hdl:1774.2/10436 levy:193.057
hdl:1774.2/10437 levy:131.048
hdl:1774.2/10438 levy:089.169
hdl:1774.2/10439 levy:189.139a
hdl:1774.2/10440 levy:174.142
hdl:1774.2/10441 levy:008.022
hdl:1774.2/10442 levy:004.100
hdl:1774.2/10443 levy:191.031
hdl:1774.2/10444 levy:056.013a
hdl:1774.2/10445 levy:158.052a
hdl:1774.2/10446 levy:105.081
hdl:1774.2/10447 levy:011.021j
hdl:1774.2/10448 levy:061.039
hdl:1774.2/10449 levy:080.026
hdl:1774.2/10450 levy:112.004
hdl:1774.2/10451 levy:042.046
hdl:1774.2/10452 levy:044.007
hdl:1774.2/10453 levy:165.012
hdl:1774.2/10454 levy:030.056
hdl:1774.2/10455 levy:114.096
hdl:1774.2/10456 levy:163.014
hdl:1774.2/10457 levy:133.044
hdl:1774.2/10458 levy:154a.180
hdl:1774.2/10459 levy:075.019
hdl:1774.2/10460 levy:090.171
hdl:1774.2/10461 levy:102.015
hdl:1774.2/10462 levy:178.060
hdl:1774.2/10463 levy:043.129
hdl:1774.2/10464 levy:150.074
hdl:1774.2/10465 levy:148.011
hdl:1774.2/10466 levy:051.104
hdl:1774.2/10467 levy:068.097
hdl:1774.2/10468 levy:137.095
hdl:1774.2/10469 levy:106.218b
hdl:1774.2/10470 levy:122.103
hdl:1774.2/10471 levy:155.180
hdl:1774.2/10472 levy:068.125
hdl:1774.2/10473 levy:157.040a
hdl:1774.2/10474 levy:115.053
hdl:1774.2/10475 levy:179.028
hdl:1774.2/10476 levy:148.070
hdl:1774.2/10477 levy:048.034
hdl:1774.2/10478 levy:001.125
hdl:1774.2/10479 levy:042.023
hdl:1774.2/10480 levy:072.083
hdl:1774.2/10481 levy:133.116
hdl:1774.2/10482 levy:119.029
hdl:1774.2/10483 levy:156.016
hdl:1774.2/10485 levy:090.129
hdl:1774.2/10486 levy:041.097c
hdl:1774.2/10487 levy:114.142
hdl:1774.2/10488 levy:154a.094
hdl:1774.2/10489 levy:153.141
hdl:1774.2/10490 levy:048.032
hdl:1774.2/10491 levy:080.014
hdl:1774.2/10492 levy:175.102
hdl:1774.2/10493 levy:193.219
hdl:1774.2/10494 levy:025.044
hdl:1774.2/10495 levy:109.113
hdl:1774.2/10496 levy:051.111
hdl:1774.2/10497 levy:142.032
hdl:1774.2/10498 levy:105.054
hdl:1774.2/10499 levy:156.070
hdl:1774.2/10500 levy:159.113
hdl:1774.2/10501 levy:092.077
hdl:1774.2/10502 levy:163.086
hdl:1774.2/10503 levy:150.025
hdl:1774.2/10504 levy:060.086
hdl:1774.2/10505 levy:007.042
hdl:1774.2/10506 levy:038.082
hdl:1774.2/10507 levy:108.001
hdl:1774.2/10508 levy:136.052
hdl:1774.2/10509 levy:005.013
hdl:1774.2/10510 levy:122.006
hdl:1774.2/10511 levy:170.001
hdl:1774.2/10512 levy:068.113
hdl:1774.2/10513 levy:156.004
hdl:1774.2/10514 levy:157.045c
hdl:1774.2/10515 levy:065.046
hdl:1774.2/10516 levy:003.136
hdl:1774.2/10517 levy:173.054
hdl:1774.2/10518 levy:175.069
hdl:1774.2/10519 levy:150a.016
hdl:1774.2/10520 levy:094.076
hdl:1774.2/10521 levy:108.081
hdl:1774.2/10522 levy:191a.082
hdl:1774.2/10523 levy:059.057
hdl:1774.2/10524 levy:032.074
hdl:1774.2/10525 levy:067.111
hdl:1774.2/10526 levy:058.042
hdl:1774.2/10527 levy:065.101
hdl:1774.2/10529 levy:176.132
hdl:1774.2/10531 levy:060.051
hdl:1774.2/10532 levy:048.028
hdl:1774.2/10533 levy:090.057
hdl:1774.2/10534 levy:020.091
hdl:1774.2/10535 levy:059.084
hdl:1774.2/10536 levy:116.138
hdl:1774.2/10537 levy:154.025
hdl:1774.2/10538 levy:080.012
hdl:1774.2/10539 levy:098.077
hdl:1774.2/10540 levy:155.181
hdl:1774.2/10541 levy:149.128
hdl:1774.2/10542 levy:128.046
hdl:1774.2/10543 levy:012.096
hdl:1774.2/10544 levy:083.066
hdl:1774.2/10545 levy:100.075
hdl:1774.2/10546 levy:156.125a
hdl:1774.2/10548 levy:155.106
hdl:1774.2/10550 levy:087.120
hdl:1774.2/10551 levy:180.056
hdl:1774.2/10552 levy:083.052
hdl:1774.2/10553 levy:191a.092
hdl:1774.2/10554 levy:061.027
hdl:1774.2/10555 levy:147.204
hdl:1774.2/10556 levy:128.141a
hdl:1774.2/10557 levy:173.042
hdl:1774.2/10558 levy:012.128
hdl:1774.2/10560 levy:114.041
hdl:1774.2/10561 levy:066.004
hdl:1774.2/10562 levy:089.029
hdl:1774.2/10564 levy:065.069
hdl:1774.2/10565 levy:041.041a
hdl:1774.2/10566 levy:071.061
hdl:1774.2/10567 levy:013.046
hdl:1774.2/10568 levy:013.121
hdl:1774.2/10569 levy:153.139
hdl:1774.2/10570 levy:148.093
hdl:1774.2/10571 levy:035.085
hdl:1774.2/10572 levy:059.113
hdl:1774.2/10573 levy:026.088
hdl:1774.2/10574 levy:029.003c
hdl:1774.2/10575 levy:163.005
hdl:1774.2/10576 levy:140.153a
hdl:1774.2/10577 levy:074.089
hdl:1774.2/10579 levy:172.120
hdl:1774.2/10580 levy:164.042
hdl:1774.2/10581 levy:034.074
hdl:1774.2/10582 levy:157.092
hdl:1774.2/10583 levy:161.104
hdl:1774.2/10584 levy:094.135
hdl:1774.2/10585 levy:152.028
hdl:1774.2/10586 levy:039.077
hdl:1774.2/10588 levy:166.089
hdl:1774.2/10589 levy:174.075
hdl:1774.2/10590 levy:115.122
hdl:1774.2/10591 levy:191.196
hdl:1774.2/10592 levy:149.095
hdl:1774.2/10593 levy:092.078
hdl:1774.2/10595 levy:178.011
hdl:1774.2/10596 levy:078.026
hdl:1774.2/10597 levy:118.012
hdl:1774.2/10599 levy:193.230
hdl:1774.2/10600 levy:118.011
hdl:1774.2/10601 levy:028.167
hdl:1774.2/10602 levy:105.123
hdl:1774.2/10603 levy:191b.057
hdl:1774.2/10604 levy:040.060d
hdl:1774.2/10605 levy:067.126
hdl:1774.2/10606 levy:115.120
hdl:1774.2/10607 levy:072.102
hdl:1774.2/10608 levy:123.085
hdl:1774.2/10609 levy:184.085
hdl:1774.2/10610 levy:165.081
hdl:1774.2/10611 levy:092.036
hdl:1774.2/10612 levy:025.066
hdl:1774.2/10613 levy:101.034
hdl:1774.2/10614 levy:176.114
hdl:1774.2/10615 levy:161.026
hdl:1774.2/10617 levy:095.072
hdl:1774.2/10618 levy:185.018
hdl:1774.2/10619 levy:146.126
hdl:1774.2/10620 levy:191b.027
hdl:1774.2/10621 levy:060.073
hdl:1774.2/10622 levy:073a.043
hdl:1774.2/10623 levy:151.061
hdl:1774.2/10624 levy:007.058
hdl:1774.2/10625 levy:115.163
hdl:1774.2/10626 levy:179.003
hdl:1774.2/10627 levy:115.050
hdl:1774.2/10628 levy:014.078
hdl:1774.2/10629 levy:040.015
hdl:1774.2/10630 levy:061.122
hdl:1774.2/10631 levy:037.042
hdl:1774.2/10632 levy:080.049
hdl:1774.2/10633 levy:027.144
hdl:1774.2/10634 levy:177.030
hdl:1774.2/10635 levy:108.120
hdl:1774.2/10636 levy:090.026
hdl:1774.2/10637 levy:034.083
hdl:1774.2/10638 levy:137.117
hdl:1774.2/10639 levy:158.105
hdl:1774.2/10640 levy:085.011
hdl:1774.2/10641 levy:096.039
hdl:1774.2/10642 levy:145.197
hdl:1774.2/10643 levy:180.002
hdl:1774.2/10644 levy:188.034
hdl:1774.2/10645 levy:079.175
hdl:1774.2/10646 levy:189.150
hdl:1774.2/10647 levy:076.169
hdl:1774.2/10649 levy:076.008a
hdl:1774.2/10650 levy:134.107
hdl:1774.2/10651 levy:148.183
hdl:1774.2/10652 levy:117.025
hdl:1774.2/10653 levy:193.233
hdl:1774.2/10654 levy:143.154
hdl:1774.2/10655 levy:097.056
hdl:1774.2/10656 levy:136.069
hdl:1774.2/10657 levy:117.007
hdl:1774.2/10658 levy:022.031
hdl:1774.2/10659 levy:075.146
hdl:1774.2/10660 levy:106.065
hdl:1774.2/10661 levy:119.046
hdl:1774.2/10662 levy:149.122
hdl:1774.2/10663 levy:134.109
hdl:1774.2/10664 levy:089.033
hdl:1774.2/10665 levy:031.050a
hdl:1774.2/10666 levy:086.013a
hdl:1774.2/10667 levy:154.152
hdl:1774.2/10668 levy:096.089
hdl:1774.2/10669 levy:175.140
hdl:1774.2/10670 levy:153.180
hdl:1774.2/10671 levy:028.105
hdl:1774.2/10672 levy:093.101
hdl:1774.2/10673 levy:060.008
hdl:1774.2/10674 levy:110.005
hdl:1774.2/10675 levy:007.004
hdl:1774.2/10676 levy:176.158
hdl:1774.2/10677 levy:006.048
hdl:1774.2/10678 levy:094.091
hdl:1774.2/10679 levy:148.078
hdl:1774.2/10680 levy:085.084
hdl:1774.2/10681 levy:078.234
hdl:1774.2/10682 levy:191b.139
hdl:1774.2/10683 levy:117.073
hdl:1774.2/10684 levy:085.007
hdl:1774.2/10685 levy:158.182
hdl:1774.2/10686 levy:117.085
hdl:1774.2/10687 levy:191a.044a
hdl:1774.2/10688 levy:024.023
hdl:1774.2/10689 levy:008.140
hdl:1774.2/10690 levy:072.130
hdl:1774.2/10691 levy:171.053
hdl:1774.2/10692 levy:002.013h
hdl:1774.2/10693 levy:054.040
hdl:1774.2/10694 levy:154a.053
hdl:1774.2/10695 levy:023.005
hdl:1774.2/10696 levy:134.064
hdl:1774.2/10697 levy:150.092
hdl:1774.2/10698 levy:161.052a
hdl:1774.2/10699 levy:065.119
hdl:1774.2/10700 levy:193.094
hdl:1774.2/10701 levy:128.088
hdl:1774.2/10703 levy:115.111
hdl:1774.2/10704 levy:129.047
hdl:1774.2/10705 levy:126.037
hdl:1774.2/10706 levy:005.059
hdl:1774.2/10707 levy:169.097
hdl:1774.2/10708 levy:114.148
hdl:1774.2/10709 levy:138.120
hdl:1774.2/10710 levy:012.155
hdl:1774.2/10711 levy:138.033
hdl:1774.2/10712 levy:065.134
hdl:1774.2/10713 levy:066.064c
hdl:1774.2/10714 levy:045.042
hdl:1774.2/10715 levy:150a.079
hdl:1774.2/10716 levy:173.079
hdl:1774.2/10717 levy:075.131
hdl:1774.2/10718 levy:114.007
hdl:1774.2/10719 levy:058.066
hdl:1774.2/10720 levy:180.037
hdl:1774.2/10721 levy:056.084
hdl:1774.2/10722 levy:032.099
hdl:1774.2/10723 levy:161.095
hdl:1774.2/10725 levy:144.017
hdl:1774.2/10726 levy:163.001
hdl:1774.2/10727 levy:041.116
hdl:1774.2/10728 levy:017.091
hdl:1774.2/10729 levy:106.039
hdl:1774.2/10730 levy:191.207
hdl:1774.2/10731 levy:054.014
hdl:1774.2/10732 levy:191b.121
hdl:1774.2/10733 levy:136.020
hdl:1774.2/10734 levy:108.062
hdl:1774.2/10735 levy:116.034
hdl:1774.2/10736 levy:163.039
hdl:1774.2/10737 levy:156.121
hdl:1774.2/10738 levy:145.119
hdl:1774.2/10739 levy:172.103
hdl:1774.2/10740 levy:176.046
hdl:1774.2/10741 levy:079.091
hdl:1774.2/10742 levy:052.012
hdl:1774.2/10743 levy:012.059
hdl:1774.2/10744 levy:159.042
hdl:1774.2/10745 levy:079.032
hdl:1774.2/10746 levy:148.119
hdl:1774.2/10748 levy:179.113
hdl:1774.2/10749 levy:191b.071
hdl:1774.2/10750 levy:009.032
hdl:1774.2/10751 levy:046.061
hdl:1774.2/10752 levy:039.061
hdl:1774.2/10753 levy:158.106a
hdl:1774.2/10754 levy:004.080
hdl:1774.2/10755 levy:190.194
hdl:1774.2/10756 levy:080.090a
hdl:1774.2/10757 levy:125.101
hdl:1774.2/10758 levy:015.028
hdl:1774.2/10759 levy:132.018
hdl:1774.2/10760 levy:008.055
hdl:1774.2/10761 levy:068.068
hdl:1774.2/10762 levy:176.001
hdl:1774.2/10763 levy:047.131
hdl:1774.2/10764 levy:039.009
hdl:1774.2/10765 levy:117.005
hdl:1774.2/10767 levy:097.153
hdl:1774.2/10768 levy:028.058
hdl:1774.2/10769 levy:096.177
hdl:1774.2/10770 levy:042.006
hdl:1774.2/10771 levy:108.037
hdl:1774.2/10772 levy:073.034
hdl:1774.2/10773 levy:075.022
hdl:1774.2/10774 levy:036.113
hdl:1774.2/10775 levy:041.015
hdl:1774.2/10776 levy:036.138
hdl:1774.2/10777 levy:120.102
hdl:1774.2/10778 levy:182.033
hdl:1774.2/10779 levy:004.008
hdl:1774.2/10780 levy:161.005
hdl:1774.2/10782 levy:073.009
hdl:1774.2/10783 levy:140.074
hdl:1774.2/10784 levy:062.040
hdl:1774.2/10785 levy:153.136
hdl:1774.2/10786 levy:158.200
hdl:1774.2/10787 levy:110.034
hdl:1774.2/10788 levy:154a.202
hdl:1774.2/10789 levy:127.145
hdl:1774.2/10791 levy:003.002
hdl:1774.2/10792 levy:183.033
hdl:1774.2/10793 levy:154a.184
hdl:1774.2/10794 levy:057.001
hdl:1774.2/10795 levy:089.007
hdl:1774.2/10796 levy:152.132a
hdl:1774.2/10797 levy:003.124
hdl:1774.2/10798 levy:020.121
hdl:1774.2/10799 levy:155.006
hdl:1774.2/10800 levy:036.010
hdl:1774.2/10801 levy:097.012
hdl:1774.2/10802 levy:090.143
hdl:1774.2/10803 levy:191a.115
hdl:1774.2/10804 levy:176.103
hdl:1774.2/10805 levy:170.082
hdl:1774.2/10806 levy:063.034
hdl:1774.2/10807 levy:189.036
hdl:1774.2/10809 levy:190.065
hdl:1774.2/10810 levy:064.047
hdl:1774.2/10811 levy:053.054
hdl:1774.2/10812 levy:124.086
hdl:1774.2/10813 levy:145.190
hdl:1774.2/10814 levy:150.051
hdl:1774.2/10816 levy:154.108a
hdl:1774.2/10817 levy:156.098
hdl:1774.2/10818 levy:147.124
hdl:1774.2/10819 levy:056.071
hdl:1774.2/10820 levy:155.055
hdl:1774.2/10821 levy:189.069
hdl:1774.2/10822 levy:058.006
hdl:1774.2/10823 levy:176.058
hdl:1774.2/10824 levy:190.006
hdl:1774.2/10825 levy:065.007
hdl:1774.2/10826 levy:038.061
hdl:1774.2/10827 levy:034.081
hdl:1774.2/10828 levy:154a.150
hdl:1774.2/10829 levy:076.102
hdl:1774.2/10830 levy:033.037
hdl:1774.2/10831 levy:193.023
hdl:1774.2/10833 levy:067.064
hdl:1774.2/10834 levy:190.199
hdl:1774.2/10835 levy:068.122
hdl:1774.2/10836 levy:153.062
hdl:1774.2/10837 levy:099.030
hdl:1774.2/10838 levy:185.050
hdl:1774.2/10839 levy:179.054
hdl:1774.2/10840 levy:158.068b
hdl:1774.2/10841 levy:008.068
hdl:1774.2/10842 levy:105.098
hdl:1774.2/10843 levy:086.018
hdl:1774.2/10846 levy:146.036
hdl:1774.2/10847 levy:047.128
hdl:1774.2/10848 levy:073.059
hdl:1774.2/10850 levy:004.117
hdl:1774.2/10851 levy:141.002
hdl:1774.2/10852 levy:158.129
hdl:1774.2/10853 levy:007.006
hdl:1774.2/10854 levy:046.078
hdl:1774.2/10855 levy:068.124
hdl:1774.2/10856 levy:081.123
hdl:1774.2/10857 levy:045.030
hdl:1774.2/10858 levy:099.031
hdl:1774.2/10859 levy:104.112
hdl:1774.2/10860 levy:127.147
hdl:1774.2/10861 levy:156.229a
hdl:1774.2/10862 levy:112.044
hdl:1774.2/10863 levy:175.055
hdl:1774.2/10864 levy:094.097
hdl:1774.2/10865 levy:121.099
hdl:1774.2/10866 levy:146.120
hdl:1774.2/10867 levy:068.073
hdl:1774.2/10868 levy:089.131
hdl:1774.2/10869 levy:048.097
hdl:1774.2/10870 levy:049.088
hdl:1774.2/10872 levy:104.154
hdl:1774.2/10873 levy:129.014
hdl:1774.2/10874 levy:083.093
hdl:1774.2/10875 levy:102.028
hdl:1774.2/10876 levy:145.142
hdl:1774.2/10877 levy:154.146
hdl:1774.2/10878 levy:184.017
hdl:1774.2/10879 levy:118.021
hdl:1774.2/10880 levy:124.071
hdl:1774.2/10881 levy:133.123
hdl:1774.2/10882 levy:160.108
hdl:1774.2/10883 levy:132.102
hdl:1774.2/10885 levy:080.024
hdl:1774.2/10886 levy:152.062
hdl:1774.2/10888 levy:101.055
hdl:1774.2/10889 levy:191a.008
hdl:1774.2/10890 levy:108.132
hdl:1774.2/10891 levy:081.068
hdl:1774.2/10893 levy:188.046
hdl:1774.2/10894 levy:191a.134
hdl:1774.2/10895 levy:058.125
hdl:1774.2/10896 levy:037.016
hdl:1774.2/10897 levy:174.127
hdl:1774.2/10898 levy:003.011
hdl:1774.2/10899 levy:045.074
hdl:1774.2/10900 levy:008.124
hdl:1774.2/10901 levy:137.046
hdl:1774.2/10902 levy:020.149
hdl:1774.2/10903 levy:080.043
hdl:1774.2/10904 levy:149.001
hdl:1774.2/10905 levy:140.079
hdl:1774.2/10906 levy:159.103
hdl:1774.2/10907 levy:042.056
hdl:1774.2/10908 levy:147.117
hdl:1774.2/10909 levy:153.154
hdl:1774.2/10912 levy:184.113
hdl:1774.2/10913 levy:133.082
hdl:1774.2/10914 levy:185.075
hdl:1774.2/10915 levy:022.011
hdl:1774.2/10916 levy:188.052
hdl:1774.2/10917 levy:150.001
hdl:1774.2/10918 levy:156.186
hdl:1774.2/10919 levy:076.039
hdl:1774.2/10921 levy:181.141
hdl:1774.2/10922 levy:167.111
hdl:1774.2/10923 levy:155.186
hdl:1774.2/10924 levy:016.098
hdl:1774.2/10925 levy:065.098
hdl:1774.2/10926 levy:162.079
hdl:1774.2/10927 levy:080.095
hdl:1774.2/10928 levy:155.176
hdl:1774.2/10929 levy:156.227a
hdl:1774.2/10930 levy:013.061
hdl:1774.2/10932 levy:087.086
hdl:1774.2/10933 levy:115.046a
hdl:1774.2/10934 levy:040.060b
hdl:1774.2/10935 levy:108.041
hdl:1774.2/10936 levy:004.030
hdl:1774.2/10937 levy:104.104
hdl:1774.2/10938 levy:171.003
hdl:1774.2/10939 levy:120.061
hdl:1774.2/10940 levy:114.112
hdl:1774.2/10941 levy:093.153
hdl:1774.2/10942 levy:043.119
hdl:1774.2/10943 levy:135.010
hdl:1774.2/10944 levy:175.159
hdl:1774.2/10945 levy:081.015
hdl:1774.2/10946 levy:158.124
hdl:1774.2/10948 levy:042.124
hdl:1774.2/10949 levy:193.074
hdl:1774.2/10950 levy:007.015
hdl:1774.2/10953 levy:154.176
hdl:1774.2/10954 levy:148.181
hdl:1774.2/10955 levy:138.152
hdl:1774.2/10956 levy:089.158
hdl:1774.2/10957 levy:089.075
hdl:1774.2/10958 levy:138.081
hdl:1774.2/10960 levy:146.179
hdl:1774.2/10961 levy:033.085a
hdl:1774.2/10962 levy:191.146a
hdl:1774.2/10963 levy:027.051
hdl:1774.2/10964 levy:135.071
hdl:1774.2/10965 levy:097.062
hdl:1774.2/10966 levy:078.001
hdl:1774.2/10967 levy:193.029
hdl:1774.2/10968 levy:152.146
hdl:1774.2/10969 levy:015.064
hdl:1774.2/10970 levy:193.227
hdl:1774.2/10971 levy:151.098
hdl:1774.2/10972 levy:087.126
hdl:1774.2/10974 levy:017.068
hdl:1774.2/10975 levy:129.088
hdl:1774.2/10976 levy:074.132
hdl:1774.2/10977 levy:141.052
hdl:1774.2/10978 levy:172.092
hdl:1774.2/10979 levy:150.016
hdl:1774.2/10980 levy:078.099
hdl:1774.2/10981 levy:027.086
hdl:1774.2/10982 levy:122.001
hdl:1774.2/10983 levy:169.065
hdl:1774.2/10984 levy:172.008
hdl:1774.2/10985 levy:189.077b
hdl:1774.2/10986 levy:096.006
hdl:1774.2/10987 levy:164.032
hdl:1774.2/10988 levy:037.050
hdl:1774.2/10989 levy:016.056
hdl:1774.2/10990 levy:149.068
hdl:1774.2/10991 levy:128.064
hdl:1774.2/10992 levy:151.008
hdl:1774.2/10993 levy:060.017
hdl:1774.2/10994 levy:079.193
hdl:1774.2/10995 levy:171.023
hdl:1774.2/10996 levy:146.074
hdl:1774.2/10998 levy:064.038
hdl:1774.2/10999 levy:185.099
hdl:1774.2/11000 levy:020.146
hdl:1774.2/11001 levy:043.106
hdl:1774.2/11002 levy:084.028
hdl:1774.2/11003 levy:176.134
hdl:1774.2/11004 levy:000.027
hdl:1774.2/11005 levy:017.033
hdl:1774.2/11006 levy:096.176
hdl:1774.2/11007 levy:149.077
hdl:1774.2/11008 levy:153.059
hdl:1774.2/11010 levy:109.166
hdl:1774.2/11011 levy:154a.128
hdl:1774.2/11012 levy:150.049
hdl:1774.2/11013 levy:028.169
hdl:1774.2/11014 levy:097.270
hdl:1774.2/11015 levy:155.177a
hdl:1774.2/11016 levy:036.025
hdl:1774.2/11017 levy:132.130
hdl:1774.2/11018 levy:125.105
hdl:1774.2/11019 levy:057.036
hdl:1774.2/11020 levy:142.026
hdl:1774.2/11021 levy:077.123
hdl:1774.2/11022 levy:190.236a
hdl:1774.2/11023 levy:132.045
hdl:1774.2/11024 levy:154a.200
hdl:1774.2/11026 levy:089.024
hdl:1774.2/11027 levy:181.125
hdl:1774.2/11028 levy:191b.058
hdl:1774.2/11029 levy:047.006
hdl:1774.2/11030 levy:170.143
hdl:1774.2/11031 levy:141.136
hdl:1774.2/11032 levy:148.123
hdl:1774.2/11033 levy:038.013
hdl:1774.2/11034 levy:064.029a
hdl:1774.2/11035 levy:192.027
hdl:1774.2/11036 levy:162.116
hdl:1774.2/11037 levy:142.034
hdl:1774.2/11038 levy:171.009
hdl:1774.2/11039 levy:141.040
hdl:1774.2/11040 levy:006.040
hdl:1774.2/11041 levy:191b.130
hdl:1774.2/11042 levy:133.128
hdl:1774.2/11043 levy:054.106
hdl:1774.2/11044 levy:125.062
hdl:1774.2/11045 levy:160.133
hdl:1774.2/11046 levy:060.053
hdl:1774.2/11047 levy:116.062
hdl:1774.2/11049 levy:142.001
hdl:1774.2/11050 levy:027.028
hdl:1774.2/11051 levy:003.008
hdl:1774.2/11052 levy:111.070
hdl:1774.2/11053 levy:133.132
hdl:1774.2/11054 levy:170.100
hdl:1774.2/11055 levy:013.138
hdl:1774.2/11056 levy:080.208
hdl:1774.2/11057 levy:156.163
hdl:1774.2/11058 levy:020.102
hdl:1774.2/11059 levy:041.092
hdl:1774.2/11060 levy:087.027
hdl:1774.2/11061 levy:056.023
hdl:1774.2/11062 levy:075.037
hdl:1774.2/11063 levy:156.084
hdl:1774.2/11064 levy:035.082
hdl:1774.2/11065 levy:062.059
hdl:1774.2/11066 levy:020.110
hdl:1774.2/11067 levy:109.106
hdl:1774.2/11068 levy:125.027
hdl:1774.2/11069 levy:138.065
hdl:1774.2/11070 levy:108.130
hdl:1774.2/11071 levy:096.086
hdl:1774.2/11072 levy:005.095
hdl:1774.2/11073 levy:037.035
hdl:1774.2/11074 levy:171.005
hdl:1774.2/11075 levy:145.077
hdl:1774.2/11076 levy:162.011
hdl:1774.2/11077 levy:063.118
hdl:1774.2/11078 levy:066.092
hdl:1774.2/11079 levy:191b.089
hdl:1774.2/11080 levy:097.080
hdl:1774.2/11081 levy:041.097a
hdl:1774.2/11082 levy:032.123
hdl:1774.2/11083 levy:100.099
hdl:1774.2/11084 levy:094.025
hdl:1774.2/11085 levy:006.033
hdl:1774.2/11086 levy:064.107
hdl:1774.2/11087 levy:007.021
hdl:1774.2/11088 levy:147.064
hdl:1774.2/11089 levy:158.031a
hdl:1774.2/11090 levy:023.008
hdl:1774.2/11091 levy:146.005
hdl:1774.2/11092 levy:162.037
hdl:1774.2/11093 levy:181.131
hdl:1774.2/11094 levy:190.031
hdl:1774.2/11095 levy:012.020
hdl:1774.2/11096 levy:032.090
hdl:1774.2/11098 levy:102.074
hdl:1774.2/11099 levy:020.216
hdl:1774.2/11100 levy:087.002
hdl:1774.2/11102 levy:045.020
hdl:1774.2/11103 levy:025.120
hdl:1774.2/11104 levy:144.066
hdl:1774.2/11105 levy:171.074
hdl:1774.2/11106 levy:170.080
hdl:1774.2/11107 levy:096.235
hdl:1774.2/11108 levy:004.130
hdl:1774.2/11109 levy:140.055
hdl:1774.2/11110 levy:088.037
hdl:1774.2/11111 levy:098.056
hdl:1774.2/11112 levy:056.057
hdl:1774.2/11113 levy:040.130
hdl:1774.2/11114 levy:093.058
hdl:1774.2/11115 levy:046.062
hdl:1774.2/11116 levy:068.169
hdl:1774.2/11117 levy:163.076
hdl:1774.2/11118 levy:151.025
hdl:1774.2/11119 levy:074.041
hdl:1774.2/11120 levy:022.078a
hdl:1774.2/11121 levy:158.038d
hdl:1774.2/11122 levy:154.121
hdl:1774.2/11123 levy:150.085
hdl:1774.2/11124 levy:157.007a
hdl:1774.2/11126 levy:097.176
hdl:1774.2/11127 levy:105.037
hdl:1774.2/11128 levy:179.123
hdl:1774.2/11129 levy:097.014
hdl:1774.2/11130 levy:160.144
hdl:1774.2/11131 levy:090.076
hdl:1774.2/11132 levy:108.085
hdl:1774.2/11134 levy:096.196a
hdl:1774.2/11135 levy:183.057
hdl:1774.2/11136 levy:056.009
hdl:1774.2/11137 levy:080.187b
hdl:1774.2/11138 levy:093.128
hdl:1774.2/11139 levy:114.022
hdl:1774.2/11140 levy:097.068
hdl:1774.2/11141 levy:141.184
hdl:1774.2/11142 levy:026.071
hdl:1774.2/11143 levy:151.160
hdl:1774.2/11144 levy:118.084
hdl:1774.2/11145 levy:033.080d
hdl:1774.2/11146 levy:189.019
hdl:1774.2/11147 levy:115.036
hdl:1774.2/11148 levy:026.124
hdl:1774.2/11149 levy:104.040
hdl:1774.2/11150 levy:153.105
hdl:1774.2/11152 levy:130.114
hdl:1774.2/11153 levy:135.102
hdl:1774.2/11154 levy:113.028
hdl:1774.2/11155 levy:009.020
hdl:1774.2/11156 levy:150.072
hdl:1774.2/11157 levy:079.163a
hdl:1774.2/11158 levy:090.063
hdl:1774.2/11159 levy:166.026
hdl:1774.2/11160 levy:104.130
hdl:1774.2/11161 levy:187.010
hdl:1774.2/11162 levy:191b.133
hdl:1774.2/11163 levy:086.028
hdl:1774.2/11164 levy:193.253
hdl:1774.2/11165 levy:005.049
hdl:1774.2/11167 levy:025.144
hdl:1774.2/11168 levy:027.070
hdl:1774.2/11169 levy:031.082
